,AssistorName,AssistorX,AssistorY,ScorerName,ScorerX,ScorerY,PassDefenderName,PassDefenderX,PassDefenderY,ShotDefenderName,ShotDefenderX,ShotDefenderY,TeamName,OtherTeamName,LocationScorer,LocationAssistor
3305,201609.0,38.04338,38.84882,2736.0,12.67735,25.4288,201952.0,3.169069999999998,12.40007,2594.0,9.40863,26.18183,MIA,ATL,Paint,AboveTheBreak3
3306,201609.0,22.041890000000024,45.90213,2736.0,5.718339999999998,40.22545,201952.0,31.03761,11.85569,201143.0,43.567859999999996,18.33629,MIA,ATL,Corner2,AboveTheBreak3
3307,2548.0,29.563699999999997,28.1991,2736.0,11.268439999999998,36.52248,203145.0,29.940740000000005,19.37041,203145.0,34.704449999999994,19.58515,MIA,ATL,Corner2,AboveTheBreak3
3308,2548.0,16.771740000000023,27.99745,2547.0,7.539339999999996,46.91906,203145.0,30.89139,19.10144,200794.0,40.829280000000026,12.15759,MIA,ATL,Corner2,Midrange2
3309,203471.0,24.06394,19.78377,201143.0,23.01999,33.368790000000004,2757.0,19.89965,21.00446,2548.0,13.19159,36.53009,ATL,MEM,Midrange2,Midrange2
3310,203145.0,27.91687,36.9359,203471.0,15.452979999999998,46.05629,101123.0,23.3391,33.32628,2736.0,14.61173,40.58057,ATL,MIA,AboveTheBreak3,AboveTheBreak3
3311,101123.0,17.046180000000007,19.26316,202355.0,7.1704300000000245,16.21512,201143.0,38.81263,29.18281,201143.0,38.83157,28.66602,MIA,ATL,Corner2,Midrange2
3312,2736.0,24.376590000000007,36.12039,101123.0,23.621169999999978,19.6401,200794.0,27.26576,15.853279999999998,203145.0,32.03349,30.43512,MIA,ATL,Midrange2,AboveTheBreak3
3313,2548.0,40.53943,16.27539,101123.0,13.112610000000004,31.36779,200757.0,17.594119999999997,31.289440000000006,203488.0,39.68575,21.87477,MIA,ATL,Midrange2,AboveTheBreak3
3314,203471.0,35.67906,12.58366,2594.0,30.41525,28.32655,201609.0,26.03569,16.62227,101123.0,26.29958,32.141690000000004,ATL,MIA,AboveTheBreak3,AboveTheBreak3
3315,2617.0,22.51388,22.42225,101123.0,24.743219999999994,19.45086,203488.0,30.356139999999996,27.003740000000004,203488.0,30.132059999999996,27.26388,MIA,ATL,Midrange2,Midrange2
3316,201609.0,31.77281,35.09164,101123.0,17.46499,38.41748,203145.0,26.02960999999999,16.79915,203471.0,33.492760000000004,12.73013,MIA,ATL,Midrange2,AboveTheBreak3
3317,201609.0,38.11581999999999,10.579859999999996,2547.0,20.44524,23.61837,201952.0,10.685920000000003,36.33398,203145.0,28.383089999999996,35.7406,MIA,ATL,Midrange2,AboveTheBreak3
3318,2757.0,11.35015,46.22398,2547.0,24.535780000000003,39.89636,2594.0,38.22188,9.11621,201143.0,31.85176,13.87505,,ATL,AboveTheBreak3,Corner2
3319,201143.0,6.761360000000002,18.70031,203145.0,11.25679,24.68757,2547.0,6.21254,19.8921,2757.0,11.77581,22.01723,ATL,MIA,Paint,Paint
3320,2736.0,11.993380000000002,23.66973,101123.0,7.886309999999995,6.065909999999988,201143.0,33.798880000000025,26.80353,2594.0,42.404030000000006,33.78584,MIA,ATL,Corner2,Paint
3321,203471.0,27.6207,12.84446,203145.0,27.4448,9.91967,2736.0,22.69832,13.730379999999998,2548.0,24.07682,13.72439,ATL,MIA,AboveTheBreak3,AboveTheBreak3
3322,201144.0,21.72586,46.44772,201584.0,9.70386,34.716120000000004,203081.0,19.82148,41.30817,203468.0,15.20861,37.94884,,POR,Corner2,AboveTheBreak3
